Date,AAPL,MSFT,NVDA,SPY,TSLA
2023-10-11,177.5536346435547,325.423828125,46.71884536743164,422.9195556640625,262.989990234375
2023-10-12,178.45228576660156,324.1903381347656,46.85758590698242,420.3411865234375,258.8699951171875
2023-10-13,176.6155242919922,320.8325500488281,45.376346588134766,418.24755859375,251.1199951171875
2023-10-16,176.4871368408203,325.63922119140625,46.0091667175293,422.64813232421875,253.9199981689453
2023-10-17,174.93670654296875,325.0713806152344,43.8561897277832,422.6287536621094,254.85000610351562
2023-10-18,173.64308166503906,323.1624450683594,42.1174201965332,416.9971618652344,242.67999267578125
2023-10-19,173.26785278320312,324.3469543457031,42.022605895996094,413.33331298828125,220.11000061035156
2023-10-20,170.72010803222656,319.794921875,41.309932708740234,408.2541809082031,211.99000549316406
2023-10-23,170.83860778808594,322.3890380859375,42.89496994018555,407.5466003417969,212.0800018310547
2023-10-24,171.2731170654297,323.5736083984375,43.58169937133789,410.61920166015625,216.52000427246094
2023-10-25,168.96234130859375,333.50018310546875,41.701202392578125,404.72601318359375,212.4199981689453
2023-10-26,164.804931640625,320.9891662597656,40.25090408325195,399.87957763671875,205.75999450683594
2023-10-27,166.11830139160156,322.86871337890625,40.42458724975586,398.0670166015625,207.3000030517578
2023-10-30,168.16244506835938,330.2109069824219,41.084354400634766,402.8262023925781,197.36000061035156
2023-10-31,168.63645935058594,330.99407958984375,40.70406723022461,405.35601806640625,200.83999633789062
2023-11-01,171.79649353027344,338.7865905761719,42.246192932128906,409.6790771484375,205.66000366210938
2023-11-02,175.35153198242188,340.9892272949219,43.42498779296875,417.5303039550781,218.50999450683594
2023-11-03,174.44300842285156,345.3748779296875,44.92119598388672,421.3395690917969,219.9600067138672
2023-11-06,176.9907684326172,349.0263671875,45.665802001953125,422.30889892578125,219.27000427246094
2023-11-07,179.5483856201172,352.9422302246094,45.86943054199219,423.5107727050781,222.17999267578125
2023-11-08,180.60504150390625,355.5560607910156,46.487274169921875,423.8210144042969,222.11000061035156
2023-11-09,180.13101196289062,353.0989074707031,46.86257553100586,420.51568603515625,209.97999572753906
2023-11-10,184.3136749267578,361.88995361328125,48.2449951171875,427.0777893066406,214.64999389648438
2023-11-13,182.73158264160156,358.96282958984375,48.52946090698242,426.6706237792969,223.7100067138672
2023-11-14,185.342041015625,362.47723388671875,49.56352996826172,434.9483642578125,237.41000366210938
2023-11-15,185.90567016601562,362.6243896484375,48.79697036743164,435.86920166015625,242.83999633789062
2023-11-16,187.58663940429688,369.00048828125,49.38786697387695,436.4023132324219,233.58999633789062
2023-11-17,187.56686401367188,362.8009948730469,49.20621109008789,436.9451599121094,234.3000030517578
2023-11-20,189.30714416503906,370.2463073730469,50.31513214111328,440.3085632324219,235.60000610351562
2023-11-21,188.50621032714844,365.9596252441406,49.85099792480469,439.3489685058594,241.1999969482422
2023-11-22,189.16873168945312,370.6484680175781,48.62529373168945,441.0451965332031,234.2100067138672
2023-11-24,187.84371948242188,370.2364807128906,47.687042236328125,441.3166198730469,235.4499969482422
2023-11-27,187.66574096679688,371.3939514160156,48.15216827392578,440.5218200683594,236.0800018310547
2023-11-28,188.26889038085938,375.406005859375,47.731956481933594,440.9579772949219,246.72000122070312
2023-11-29,187.25042724609375,371.62945556640625,48.050357818603516,440.64776611328125,244.13999938964844
2023-11-30,187.8239288330078,371.6882629394531,46.68291091918945,442.3828125,240.0800018310547
2023-12-01,189.0994873046875,367.3721618652344,46.67792510986328,444.99993896484375,238.8300018310547
2023-12-04,187.3097686767578,362.1044921875,45.425254821777344,442.6639099121094,235.5800018310547
2023-12-05,191.25511169433594,365.42010498046875,46.483375549316406,442.57672119140625,238.72000122070312
2023-12-06,190.1674346923828,361.7709655761719,45.42226791381836,440.793212890625,239.3699951171875
2023-12-07,192.0955810546875,363.8800048828125,46.51332092285156,444.1566467285156,242.63999938964844
2023-12-08,193.5194854736328,367.09747314453125,47.42171096801758,446.0661315917969,243.83999633789062
2023-12-11,191.017822265625,364.2232971191406,46.544273376464844,447.8011474609375,239.74000549316406
2023-12-12,192.53070068359375,367.24462890625,47.572444915771484,449.8463439941406,237.00999450683594
2023-12-13,195.74429321289062,367.23480224609375,48.00267791748047,456.0497741699219,239.2899932861328
2023-12-14,195.8926239013672,358.9555969238281,48.26420974731445,457.5134582519531,251.0500030517578
2023-12-15,195.358642578125,363.6641845703125,48.80325698852539,456.7601623535156,253.5
2023-12-18,193.6974639892578,365.5475769042969,49.98814392089844,459.32940673828125,252.0800018310547
2023-12-19,194.7357177734375,366.14593505859375,49.51598358154297,462.1225891113281,257.2200012207031
2023-12-20,192.64932250976562,363.5562744140625,48.025634765625,455.7188415527344,247.13999938964844
2023-12-21,192.5009765625,366.4206237792969,48.90308380126953,460.03985595703125,254.5
2023-12-22,191.43310546875,367.4408264160156,48.74335479736328,460.9644470214844,252.5399932861328
2023-12-26,190.88926696777344,367.5192565917969,49.191558837890625,462.9108581542969,256.6099853515625
2023-12-27,190.98812866210938,366.9405212402344,49.32931900024414,463.7478332519531,261.44000244140625
2023-12-28,191.41329956054688,368.1274719238281,49.43413162231445,463.92303466796875,253.17999267578125
2023-12-29,190.3750457763672,368.87298583984375,49.43413162231445,462.5799560546875,248.47999572753906
2024-01-02,183.5621795654297,363.8014831542969,48.0825309753418,459.9912414550781,248.4199981689453
2024-01-03,182.18775939941406,363.53668212890625,47.484588623046875,456.234619140625,238.4499969482422
2024-01-04,179.8739471435547,360.9273376464844,47.912841796875,454.7649841308594,237.92999267578125
2024-01-05,179.152099609375,360.7409973144531,49.0098876953125,455.3879089355469,237.49000549316406
2024-01-08,183.4830780029297,367.54864501953125,52.16028594970703,461.88897705078125,240.4499969482422
2024-01-09,183.06777954101562,368.62774658203125,53.045711517333984,461.188232421875,234.9600067138672
2024-01-10,184.1060333251953,375.4746398925781,54.253562927246094,463.7965087890625,233.94000244140625
2024-01-11,183.5127410888672,377.29925537109375,54.72472381591797,463.5920715332031,227.22000122070312
2024-01-12,183.83905029296875,381.06610107421875,54.61292266845703,463.9132995605469,218.88999938964844
2024-01-16,181.57467651367188,382.8317565917969,56.281959533691406,462.2101135253906,219.91000366210938
2024-01-17,180.63531494140625,382.0469970703125,55.953548431396484,459.6408996582031,215.5500030517578
2024-01-18,186.5187225341797,386.36309814453125,57.00567626953125,463.72833251953125,211.8800048828125
2024-01-19,189.41590881347656,391.0716857910156,59.38544845581055,469.5093078613281,212.19000244140625
2024-01-22,191.7198486328125,388.9528503417969,59.54815673828125,470.50201416015625,208.8000030517578
2024-01-23,192.99539184570312,391.2972412109375,59.76676940917969,471.8741760253906,209.13999938964844
2024-01-24,192.322998046875,394.887451171875,61.253116607666016,472.3900451660156,207.8300018310547
2024-01-25,191.9967041015625,397.15350341796875,61.5076789855957,474.95928955078125,182.6300048828125
2024-01-26,190.2663116455078,396.2314147949219,60.922706604003906,474.3558654785156,183.25
2024-01-29,189.58404541015625,401.9110412597656,62.35416030883789,478.1124572753906,190.92999267578125
2024-01-30,185.935302734375,400.80255126953125,62.662620544433594,477.7427062988281,191.58999633789062
2024-01-31,182.3360595703125,390.00244140625,61.41783142089844,469.9472351074219,187.2899932861328
2024-02-01,184.76853942871094,396.08428955078125,62.9151725769043,476.0979919433594,188.86000061035156
2024-02-02,183.76983642578125,403.3824768066406,66.04261016845703,481.1100158691406,187.91000366210938
2024-02-05,185.57937622070312,397.91864013671875,69.20897674560547,479.3582458496094,181.05999755859375
2024-02-06,187.1811981201172,397.76171875,68.10194396972656,480.74993896484375,185.10000610351562
2024-02-07,187.2899932861328,406.1585388183594,69.974609375,484.7596130371094,187.5800018310547
2024-02-08,186.21221923828125,406.21734619140625,69.51742553710938,484.97369384765625,189.55999755859375
2024-02-09,186.9745330810547,412.5345764160156,72.00502014160156,487.776611328125,193.57000732421875
2024-02-12,185.29141235351562,407.3454895019531,72.11981964111328,487.5624694824219,188.1300048828125
2024-02-13,183.20237731933594,398.5758361816406,72.0000228881836,480.8472595214844,184.02000427246094
2024-02-14,182.32122802734375,402.42828369140625,73.76889038085938,485.21697998046875,188.7100067138672
2024-02-15,182.0341033935547,399.54876708984375,72.52906799316406,488.56488037109375,200.4499969482422
2024-02-16,180.49948120117188,397.0919189453125,72.48416900634766,486.1319274902344,199.9499969482422
2024-02-20,179.75692749023438,395.8438415527344,69.32876586914062,483.45550537109375,193.75999450683594
2024-02-21,180.50938415527344,395.24432373046875,67.35228729248047,483.8934326171875,194.77000427246094
2024-02-22,182.53903198242188,404.5509948730469,78.39865112304688,493.9078369140625,197.41000366210938
